trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
51,False,"{'a': 0.17999999999999947, 'e': 0.0820849986238988}",25,2,25.414259923841865,"{0: 22, 1: 1, 2: 0, 3: 0, 4: 0}",1
52,False,"{'a': 0.17999999999999947, 'e': 0.07808166600115313}",20,14,12.383283101004832,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
53,False,"{'a': 0.17999999999999947, 'e': 0.07427357821433388}",35,13,34.57587903531033,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
54,False,"{'a': 0.17999999999999947, 'e': 0.07065121306042957}",25,0,5.029518321698529,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
55,False,"{'a': 0.17999999999999947, 'e': 0.06720551273974976}",20,0,18.415055525162032,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
56,False,"{'a': 0.17999999999999947, 'e': 0.06392786120670757}",25,11,22.87131620699768,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.17999999999999947, 'e': 0.06081006262521795}",30,15,15.192827504324688,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
58,False,"{'a': 0.17999999999999947, 'e': 0.057844320874838456}",25,4,30.61989249558925,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
59,False,"{'a': 0.17999999999999947, 'e': 0.05502322005640721}",20,0,18.24591907773872,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
60,False,"{'a': 0.17999999999999947, 'e': 0.05233970594843238}",25,8,28.656887872215716,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
61,False,"{'a': 0.17999999999999947, 'e': 0.049787068367863944}",35,8,40.11472310383855,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.17999999999999947, 'e': 0.04735892439114091}",20,0,28.59857923947743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
63,False,"{'a': 0.17999999999999947, 'e': 0.0450492023935578}",30,0,-15.057599443803799,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
64,False,"{'a': 0.17999999999999947, 'e': 0.042852126867040166}",20,9,18.651753371938867,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.17999999999999947, 'e': 0.04076220397836621}",30,0,46.20072814746733,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
